12;"Rs.5.51 Lakh";"Year2015";"KMs Driven21,922";"Fuel TypePetrol";"Seller Typedealer";"TransmissionAutomatic";"OwnerFirst";"Mileage18.9 kmpl";"Engine1197 CC";"Seats5";"ColorSleek SilverGear Box4 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeGas FilledSteering TypePowerTurning Radius4.8 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed163 KmphAcceleration14.9 SecondsTyre TypeTubelessAlloy Wheel Size14 InchNo Of Doors5Cargo Volume256-liters"
13;"Rs.7.5 Lakh";"Year2015";"KMs Driven64,104";"Fuel TypeDiesel";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage26.21 kmpl";"Engine1248 CC";"Seats5";"ColorGreyGear Box5 SpeedDrive TypeFWDSeating Capacity5Steering TypePowerTurning Radius5.4 metersFront Brake TypeVentilated DiscsRear Brake TypeDrumTop Speed164 KmphAcceleration15 SecondsTyre TypeTubeless, RadialAlloy Wheel Size16 InchNo Of Doors4Cargo Volume510-litres"
14;"Rs.4.95 Lakh";"Year2015";"KMs Driven19,412";"Fuel TypePetrol";"Seller Typedealer";"TransmissionAutomatic";"OwnerFirst";"Mileage18.9 kmpl";"Engine1197 CC";"Seats5";"ColorGolden OrangeGear Box4 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeGas FilledSteering TypePowerTurning Radius4.8 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed163 KmphAcceleration14.9 SecondsTyre TypeTubelessAlloy Wheel Size14 InchNo Of Doors5Cargo Volume256-liters"
15;"Rs.6 Lakh";"Year2017";"KMs Driven9,025";"Fuel TypePetrol";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage21.4 kmpl";"Engine1197 CC";"Seats5";"ColorBlueGear Box5 SpeedDrive TypeFWDSeating Capacity5Steering TypePowerTurning Radius4.9 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed180 KmphAcceleration12.36 secondsTyre TypeTubeless,RadialWheel Size15 InchNo Of Doors5Cargo Volume339-litres"
16;"Rs.2.45 Lakh";"Year2009";"KMs Driven32,492";"Fuel TypePetrol";"Seller Typedealer";"TransmissionAutomatic";"OwnerFirst";"Mileage16.95 kmpl";"Engine1197 CC";"Seats5";"ColorRedGear Box4-SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeHydraulicSteering TypePowerFront Brake TypeVentilated DiscRear Brake TypeDrumTyre TypeTubeless,RadialAlloy Wheel Size13 InchNo Of Doors4"
17;"Rs.7.75 Lakh";"Year2016";"KMs Driven29,928";"Fuel TypeCNG";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage17.5 km/kg";"Engine1373 CC";"Seats7";"ColorGreyGear Box5 SpeedDrive TypeFWDSeating Capacity7Steering TypePowerTurning Radius5.2 metresFront Brake TypeVentilated DiscRear Brake TypeDrumTop Speed164 KmphAcceleration13 SecondsTyre TypeTubeless,RadialWheel Size15 InchNo Of Doors5Cargo Volume135-liters"
18;"Rs.3.45 Lakh";"Year2016";"KMs Driven43,875";"Fuel TypeCNG";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage15.1 km/kg";"Engine1196 CC";"Seats5";"ColorGreyGear Box5 SpeedDrive TypeRWDSeating Capacity5Steering TypePowerTurning Radius4.5mFront Brake TypeVentilated DiscRear Brake TypeDrumTyre TypeTubeless, RadialAlloy Wheel Size13 InchNo Of Doors5"
19;"Rs.6.95 Lakh";"Year2016";"KMs Driven20,290";"Fuel TypePetrol";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage17.19 kmpl";"Engine1197 CC";"Seats5";"ColorWhiteGear Box5 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeGas FilledSteering TypePowerTurning Radius5.2 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed160 KmphAcceleration14 SecondsTyre TypeTubeless,RadialAlloy Wheel Size16 InchNo Of Doors5Cargo Volume285-litres"
20;"Rs.5.95 Lakh";"Year2015";"KMs Driven47,800";"Fuel TypeDiesel";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage27.3 kmpl";"Engine1498 CC";"Seats5";"ColorWhiteGear Box6 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeCoil SpringSteering TypePowerTurning Radius5.1 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed172 KmphAcceleration13.7 SecondsTyre TypeTubeless, RadialAlloy Wheel Size15 InchNo Of Doors5Cargo Volume354-litres"
21;"Rs.6.75 Lakh";"Year2014";"KMs Driven9,900";"Fuel TypeDiesel";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage22.7 kmpl";"Engine1498 CC";"Seats5";"ColorSilverGear Box5 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeTwin Gas & Oil FilledSteering TypePowerTurning Radius5.3 metersFront Brake TypeVentilated DiscRear Brake TypeDrumTop Speed182 KmphAcceleration13.5 SecondsTyre TypeTubeless,RadialAlloy Wheel Size16 InchNo Of Doors5Cargo Volume346-litres"
22;"Rs.1.75 Lakh";"Year2011";"KMs Driven27,171";"Fuel TypePetrol";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage17.8 kmpl";"Engine1199 CC";"Seats5";"ColorGreyGear Box5 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeGas FilledSteering TypePowerTurning Radius4.85 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed145 KmphAcceleration15.7 SecondsTyre TypeTubeless Wheel Size14 InchNo Of Doors5Cargo Volume170-litres"
23;"Rs.6.5 Lakh";"Year2014";"KMs Driven55,000";"Fuel TypeDiesel";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage25.47 kmpl";"Engine1248 CC";"Seats7";"ColorBlueGear Box5 SpeedDrive Type2WDSeating Capacity7Steering TypePowerTurning Radius5.2 metresFront Brake TypeVentilated DiscRear Brake TypeDrumTyre TypeTubeless,RadialNo Of Doors5Cargo Volume209 litres"
24;"Rs.38 Lakh";"Year2017";"KMs Driven14,000";"Fuel TypeDiesel";"Seller Typedealer";"TransmissionAutomatic";"OwnerFirst";"Mileage18.25 kmpl";"Engine1968 CC";"Seats5";"ColorRedGear Box7 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeGas FilledSteering TypePowerTurning Radius5.8 metresFront Brake TypeVentilated DiscRear Brake TypeDiscTop Speed237 kmphAcceleration7.7 SecondsBraking Time42.09mTyre TypeTubeless,RadialAlloy Wheel Size17 InchNo Of Doors4Cargo Volume480-litres"
25;"Rs.8.1 Lakh";"Year2016";"KMs Driven44,600";"Fuel TypeDiesel";"Seller Typedealer";"TransmissionAutomatic";"OwnerFirst";"Mileage21.72 kmpl";"Engine1498 CC";"Seats5";"ColorSilverGear Box7 SpeedDrive TypeFWDSeating Capacity5Steering TypePowerTurning Radius5.3 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed171.92 KmphAcceleration11.41 SecondsBraking Time41.56mTyre TypeTubeless,RadialWheel Size15 InchNo Of Doors4Cargo Volume460-litres"
26;"Rs.5.5 Lakh";"Year2011";"KMs Driven50,000";"Fuel TypeDiesel";"Seller TypeIndividual";"TransmissionAutomatic";"OwnerFirst";"Mileage18.1 kmpl";"Engine1991 CC";"Seats4";"ColorBlackGear Box6 SpeedSeating Capacity4Shock AbsorbersTypeTwin Tube Gas Pressure TypeSteering TypePowerTurning Radius5.4mFront Brake TypeDiscRear Brake TypeDiscTyre TypeTubeless,RadialWheel Size6.5Jx16 Alloy Wheel Size16 InchNo Of Doors5"
27;"Rs.9 Lakh";"Year2016";"KMs Driven42,000";"Fuel TypeDiesel";"Seller TypeIndividual";"TransmissionAutomatic";"OwnerFirst";"Mileage19.6 kmpl";"Engine1461 CC";"Seats5";"ColorBlackGear Box6 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeDouble ActingSteering TypePowerTurning Radius5.2 metresFront Brake TypeDiscRear Brake TypeDrumTop Speed168 KmphAcceleration12.5 SecondsTyre TypeTubeless,RadialAlloy Wheel Size16 InchNo Of Doors5Cargo Volume475-litres"
28;"Rs.6.65 Lakh";"Year2017";"KMs Driven10,312";"Fuel TypePetrol";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage18.6 kmpl";"Engine1197 CC";"Seats5";"ColorSilverGear Box5 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeGas FilledSteering TypePowerTurning Radius5.2 metresFront Brake TypeDiscRear Brake TypeDrumTop Speed170 KmphAcceleration13.2 SecondsTyre TypeTubelessWheel Size14 InchNo Of Doors5Cargo Volume295-litres"
29;"Rs.5.8 Lakh";"Year2016";"KMs Driven10,902";"Fuel TypePetrol";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage18.6 kmpl";"Engine1197 CC";"Seats5";"ColorGreyGear Box5 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeGas FilledSteering TypePowerTurning Radius5.2 metresFront Brake TypeDiscRear Brake TypeDrumTop Speed170 KmphAcceleration13.2 SecondsTyre TypeTubelessAlloy Wheel Size16 InchNo Of Doors5Cargo Volume295-litres"
30;"Rs.6.6 Lakh";"Year2018";"KMs Driven3,723";"Fuel TypePetrol";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage18.6 kmpl";"Engine1197 CC";"Seats5";"ColorWhiteGear Box5 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeGas FilledSteering TypePowerTurning Radius5.2 metresFront Brake TypeDiscRear Brake TypeDrumTop Speed170 KmphAcceleration13.2 SecondsTyre TypeTubelessWheel Size14 InchNo Of Doors5Cargo Volume295-litres"
31;"Rs.5.25 Lakh";"Year2013";"KMs Driven54,181";"Fuel TypePetrol";"Seller Typedealer";"TransmissionAutomatic";"OwnerFirst";"Mileage15.6 kmpl";"Engine1497 CC";"Seats5";"ColorWhiteGear Box5 Speed AT+ Paddle ShiftersDrive TypeFWDSeating Capacity5Steering TypePowerTurning Radius5.3metersFront Brake TypeDiscRear Brake TypeDrumTop Speed  Braking Time  Tyre TypeTubeless,RadialAlloy Wheel Size15 InchNo Of Doors4Cargo Volume506-litres"
32;"Rs.5.51 Lakh";"Year2015";"KMs Driven21,922";"Fuel TypePetrol";"Seller Typedealer";"TransmissionAutomatic";"OwnerFirst";"Mileage18.9 kmpl";"Engine1197 CC";"Seats5";"ColorSleek SilverGear Box4 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeGas FilledSteering TypePowerTurning Radius4.8 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed163 KmphAcceleration14.9 SecondsTyre TypeTubelessAlloy Wheel Size14 InchNo Of Doors5Cargo Volume256-liters"
33;"Rs.7.5 Lakh";"Year2015";"KMs Driven64,104";"Fuel TypeDiesel";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage26.21 kmpl";"Engine1248 CC";"Seats5";"ColorGreyGear Box5 SpeedDrive TypeFWDSeating Capacity5Steering TypePowerTurning Radius5.4 metersFront Brake TypeVentilated DiscsRear Brake TypeDrumTop Speed164 KmphAcceleration15 SecondsTyre TypeTubeless, RadialAlloy Wheel Size16 InchNo Of Doors4Cargo Volume510-litres"
34;"Rs.4.95 Lakh";"Year2015";"KMs Driven19,412";"Fuel TypePetrol";"Seller Typedealer";"TransmissionAutomatic";"OwnerFirst";"Mileage18.9 kmpl";"Engine1197 CC";"Seats5";"ColorGolden OrangeGear Box4 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeGas FilledSteering TypePowerTurning Radius4.8 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed163 KmphAcceleration14.9 SecondsTyre TypeTubelessAlloy Wheel Size14 InchNo Of Doors5Cargo Volume256-liters"
35;"Rs.6 Lakh";"Year2017";"KMs Driven9,025";"Fuel TypePetrol";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage21.4 kmpl";"Engine1197 CC";"Seats5";"ColorBlueGear Box5 SpeedDrive TypeFWDSeating Capacity5Steering TypePowerTurning Radius4.9 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed180 KmphAcceleration12.36 secondsTyre TypeTubeless,RadialWheel Size15 InchNo Of Doors5Cargo Volume339-litres"
36;"Rs.2.45 Lakh";"Year2009";"KMs Driven32,492";"Fuel TypePetrol";"Seller Typedealer";"TransmissionAutomatic";"OwnerFirst";"Mileage16.95 kmpl";"Engine1197 CC";"Seats5";"ColorRedGear Box4-SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeHydraulicSteering TypePowerFront Brake TypeVentilated DiscRear Brake TypeDrumTyre TypeTubeless,RadialAlloy Wheel Size13 InchNo Of Doors4"
37;"Rs.7.75 Lakh";"Year2016";"KMs Driven29,928";"Fuel TypeCNG";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage17.5 km/kg";"Engine1373 CC";"Seats7";"ColorGreyGear Box5 SpeedDrive TypeFWDSeating Capacity7Steering TypePowerTurning Radius5.2 metresFront Brake TypeVentilated DiscRear Brake TypeDrumTop Speed164 KmphAcceleration13 SecondsTyre TypeTubeless,RadialWheel Size15 InchNo Of Doors5Cargo Volume135-liters"
38;"Rs.3.45 Lakh";"Year2016";"KMs Driven43,875";"Fuel TypeCNG";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage15.1 km/kg";"Engine1196 CC";"Seats5";"ColorGreyGear Box5 SpeedDrive TypeRWDSeating Capacity5Steering TypePowerTurning Radius4.5mFront Brake TypeVentilated DiscRear Brake TypeDrumTyre TypeTubeless, RadialAlloy Wheel Size13 InchNo Of Doors5"
39;"Rs.6.95 Lakh";"Year2016";"KMs Driven20,290";"Fuel TypePetrol";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage17.19 kmpl";"Engine1197 CC";"Seats5";"ColorWhiteGear Box5 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeGas FilledSteering TypePowerTurning Radius5.2 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed160 KmphAcceleration14 SecondsTyre TypeTubeless,RadialAlloy Wheel Size16 InchNo Of Doors5Cargo Volume285-litres"
40;"Rs.5.95 Lakh";"Year2015";"KMs Driven47,800";"Fuel TypeDiesel";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage27.3 kmpl";"Engine1498 CC";"Seats5";"ColorWhiteGear Box6 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeCoil SpringSteering TypePowerTurning Radius5.1 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed172 KmphAcceleration13.7 SecondsTyre TypeTubeless, RadialAlloy Wheel Size15 InchNo Of Doors5Cargo Volume354-litres"
41;"Rs.6.75 Lakh";"Year2014";"KMs Driven9,900";"Fuel TypeDiesel";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage22.7 kmpl";"Engine1498 CC";"Seats5";"ColorSilverGear Box5 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeTwin Gas & Oil FilledSteering TypePowerTurning Radius5.3 metersFront Brake TypeVentilated DiscRear Brake TypeDrumTop Speed182 KmphAcceleration13.5 SecondsTyre TypeTubeless,RadialAlloy Wheel Size16 InchNo Of Doors5Cargo Volume346-litres"
