1;" Used cars in India With Search Options";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Rs. 0 Lakh -  5 Croreor select from the ranges below0 - 2 Lakh(6136)2 - 5 Lakh(15392)5 - 8 Lakh(7182)8 - 10 Lakh(1931)10+ Lakh(4240)× Models"
13;"Maruti Ciaz ZDi Plus";"Rs.7.5 Lakh";"Year2015";"KMs Driven64,104";"Fuel TypeDiesel";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage26.21 kmpl";"Engine1248 CC";"Seats5";"ColorGreyGear Box5 SpeedDrive TypeFWDSeating Capacity5Steering TypePowerTurning Radius5.4 metersFront Brake TypeVentilated DiscsRear Brake TypeDrumTop Speed164 KmphAcceleration15 SecondsTyre TypeTubeless, RadialAlloy Wheel Size16 InchNo Of Doors4Cargo Volume510-litres"
14;"Hyundai i10 Magna 1.2";"Rs.1.91 Lakh";"Year2009";"KMs Driven74,902";"Fuel TypePetrol";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage20.36 kmpl";"Engine1197 CC";"Seats5";"ColorRedGear Box5 SpeedDrive TypeFWDSeating Capacity5Steering TypePowerFront Brake TypeVentilated DiscRear Brake TypeDrumTyre TypeTubeless,RadialAlloy Wheel Size13 InchNo Of Doors4"
15;"Honda City i DTEC SV";"Rs.7.1 Lakh";"Year2015";"KMs Driven71,845";"Fuel TypeDiesel";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage26.0 kmpl";"Engine1498 CC";"Seats5";"ColorGreyGear Box6 Speed Drive TypeFWDSeating Capacity5Steering TypePowerTurning Radius5.3 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed190 KmphAcceleration10 SecondsTyre TypeTubeless,RadialWheel Size15 InchNo Of Doors4Cargo Volume510-litres"
16;"Hyundai i10 Sportz 1.2 AT";"Rs.2.45 Lakh";"Year2009";"KMs Driven32,492";"Fuel TypePetrol";"Seller Typedealer";"TransmissionAutomatic";"OwnerFirst";"Mileage16.95 kmpl";"Engine1197 CC";"Seats5";"ColorRedGear Box4-SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeHydraulicSteering TypePowerFront Brake TypeVentilated DiscRear Brake TypeDrumTyre TypeTubeless,RadialAlloy Wheel Size13 InchNo Of Doors4"
17;"Maruti Baleno Zeta 1.3";"Rs.8.1 Lakh";"Year2017";"KMs Driven25,698";"Fuel TypeDiesel";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage27.39 kmpl";"Engine1248 CC";"Seats5";"ColorRedGear Box5 SpeedDrive TypeFWDSeating Capacity5Steering TypePowerTurning Radius4.9 metresFront Brake TypeDiscRear Brake TypeDrumTop Speed170 KmphAcceleration12.93 secondsTyre TypeTubeless,RadialAlloy Wheel Size16 InchNo Of Doors5Cargo Volume339-litres"
18;"Hyundai i20 Sportz 1.2";"Rs.5.3 Lakh";"Year2015";"KMs Driven32,377";"Fuel TypePetrol";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage18.6 kmpl";"Engine1197 CC";"Seats5";"ColorRedGear Box5 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeGas FilledSteering TypePowerTurning Radius5.2 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed170 KmphAcceleration13.2 SecondsTyre TypeTubelessWheel Size14 InchNo Of Doors5Cargo Volume295-litres"
19;"Maruti Ertiga VXI CNG";"Rs.7.75 Lakh";"Year2016";"KMs Driven29,928";"Fuel TypeCNG";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage17.5 km/kg";"Engine1373 CC";"Seats7";"ColorGreyGear Box5 SpeedDrive TypeFWDSeating Capacity7Steering TypePowerTurning Radius5.2 metresFront Brake TypeVentilated DiscRear Brake TypeDrumTop Speed164 KmphAcceleration13 SecondsTyre TypeTubeless,RadialWheel Size15 InchNo Of Doors5Cargo Volume135-liters"
20;"Volkswagen Polo 1.2 MPI Comfortline";"Rs.4.48 Lakh";"Year2015";"KMs Driven47,756";"Fuel TypePetrol";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage16.47 kmpl";"Engine1198 CC";"Seats5";"ColorGreyGear Box5 SpeedDrive TypeFWDSeating Capacity5Steering TypePowerTurning Radius4.97 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed165 kmphAcceleration14.2 SecondsTyre TypeTubeless,RadialWheel Size15 InchNo Of Doors5Cargo Volume280-liters"
21;"Maruti Eeco 5 STR With AC Plus HTR CNG";"Rs.3.45 Lakh";"Year2016";"KMs Driven43,875";"Fuel TypeCNG";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage15.1 km/kg";"Engine1196 CC";"Seats5";"ColorGreyGear Box5 SpeedDrive TypeRWDSeating Capacity5Steering TypePowerTurning Radius4.5mFront Brake TypeVentilated DiscRear Brake TypeDrumTyre TypeTubeless, RadialAlloy Wheel Size13 InchNo Of Doors5"
22;"Nissan Terrano XL";"Rs.5.25 Lakh";"Year2014";"KMs Driven40,000";"Fuel TypePetrol";"Seller Typedealer";"TransmissionManual";"OwnerFirst";"Mileage13.24 kmpl";"Engine1598 CC";"Seats5";"ColorWhiteGear Box5 SpeedDrive TypeFWDSeating Capacity5Shock AbsorbersTypeCoil Springs Steering TypePowerTurning Radius5.2 metersFront Brake TypeDiscRear Brake TypeDrumTop Speed164 KmphAcceleration11.8 SecondsTyre TypeTubeless TyresWheel Size16 InchNo Of Doors5Cargo Volume475-litres"
